State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3857.560000000002, Episode: 1, Step: 173
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3956.4800000000023, Episode: 1, Step: 174
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 4055.4000000000024, Episode: 1, Step: 175
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -64.92, Episode: 1, Step: 1
State: [[ 253.          123.         6939.77817178]], Action: 4, Reward: 98.92, Score: 34.0, Episode: 1, Step: 2
State: [[ 236.5         122.5        6503.88219109]], Action: 4, Reward: 98.92, Score: 132.92000000000002, Episode: 1, Step: 3
State: [[ 227.          122.         6361.72512352]], Action: 2, Reward: -146.84, Score: -13.919999999999987, Episode: 1, Step: 4
State: [[ 240.        122.       6647.610055]], Action: 4, Reward: 98.92, Score: 85.00000000000001, Episode: 1, Step: 5
State: [[ 231.5         121.5        6792.90871522]], Action: 3, Reward: -82.45599999999999, Score: 2.5440000000000254, Episode: 1, Step: 6
State: [[ 230.5         121.5        6792.90871522]], Action: 6, Reward: -65.0, Score: -62.455999999999975, Episode: 1, Step: 7
State: [[ 219.5         121.5        7088.21842466]], Action: 1, Reward: -64.92, Score: -127.37599999999998, Episode: 1, Step: 8
State: [[ 206.          121.         7238.22947387]], Action: 1, Reward: -64.92, Score: -192.296, Episode: 1, Step: 9
State: [[ 183.          122.         6939.77817178]], Action: 0, Reward: -59.0, Score: -251.296, Episode: 1, Step: 10
State: [[ 165.5         121.5        6503.88219109]], Action: 6, Reward: -65.0, Score: -316.296, Episode: 1, Step: 11
State: [[ 141.5         121.5        6503.88219109]], Action: 2, Reward: -146.84, Score: -463.13599999999997, Episode: 1, Step: 12
State: [[ 105.5         121.5        6503.88219109]], Action: 0, Reward: -59.0, Score: -522.136, Episode: 1, Step: 13
State: [[  79.5         122.5        6503.88219109]], Action: 0, Reward: -59.0, Score: -581.136, Episode: 1, Step: 14
State: [[  24.5         121.5        1885.74099032]], Action: 3, Reward: -82.45599999999999, Score: -663.592, Episode: 1, Step: 15
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -564.672, Episode: 1, Step: 16
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -647.128, Episode: 1, Step: 17
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -548.2080000000001, Episode: 1, Step: 18
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -613.128, Episode: 1, Step: 19
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -514.2080000000001, Episode: 1, Step: 20
State: [[  42.          123.         5541.76944093]], Action: 1, Reward: -64.92, Score: -579.128, Episode: 1, Step: 21
State: [[  41.          122.         5281.01725068]], Action: 2, Reward: -146.84, Score: -725.9680000000001, Episode: 1, Step: 22
State: [[  68.5         122.5        5152.99735005]], Action: 1, Reward: -64.92, Score: -790.888, Episode: 1, Step: 23
State: [[  77.5         123.5        5152.99735005]], Action: 0, Reward: -59.0, Score: -849.888, Episode: 1, Step: 24
State: [[  89.5         123.5        4901.66993776]], Action: 0, Reward: -59.0, Score: -908.888, Episode: 1, Step: 25
State: [[  96.          123.         4778.36242611]], Action: 0, Reward: -59.0, Score: -967.888, Episode: 1, Step: 26
State: [[  71.          123.         4778.36242611]], Action: 4, Reward: 98.92, Score: -868.9680000000001, Episode: 1, Step: 27
State: [[  45.5         123.5        4901.66993776]], Action: 6, Reward: -65.0, Score: -933.9680000000001, Episode: 1, Step: 28
State: [[  51.          123.         4778.36242611]], Action: 0, Reward: -59.0, Score: -992.9680000000001, Episode: 1, Step: 29
State: [[  80.          123.         4536.45979178]], Action: 4, Reward: 98.92, Score: -894.0480000000001, Episode: 1, Step: 30
State: [[ 110.          123.         4300.84034276]], Action: 2, Reward: -146.84, Score: -1040.8880000000001, Episode: 1, Step: 31
State: [[ 112.          123.         4300.84034276]], Action: 4, Reward: 98.92, Score: -941.9680000000002, Episode: 1, Step: 32
State: [[ 117.5         123.5        3959.19214169]], Action: 4, Reward: 98.92, Score: -843.0480000000002, Episode: 1, Step: 33
State: [[ 158.5         123.5        3959.19214169]], Action: 6, Reward: -65.0, Score: -908.0480000000002, Episode: 1, Step: 34
State: [[ 181.5         123.5        3959.19214169]], Action: 4, Reward: 98.92, Score: -809.1280000000003, Episode: 1, Step: 35
State: [[ 185.          124.         3848.45100065]], Action: 1, Reward: -64.92, Score: -874.0480000000002, Episode: 1, Step: 36
